id_venta,fecha,ciudad,canal,categoria,metodo_pago,edad_cliente,cantidad,precio_unitario,descuento_pct,cliente_frecuente,total
1083,2026-01-29 14:00:00,Guadalajara,Tienda,Alimentos,Efectivo,41.0,3,2464.57,5.0,False,7024.02
1052,2026-02-05 09:00:00,Chihuahua,Web,Ropa,Transferencia,54.0,6,1148.11,,False,6544.23
1009,2026-02-06 16:00:00,Guadalajara,Web,Alimentos,Efectivo,60.0,7,1900.56,15.0,False,11308.33
1061,2026-06-16 21:00:00,Chihuahua,App,Electrónica,Transferencia,18.0,1,1219.89,20.0,True,975.91
1093,2026-06-01 19:00:00,Chihuahua,Tienda,Alimentos,Transferencia,31.0,4,140.58,5.0,False,534.2
1051,2026-05-17 09:00:00,Ciudad de México,Tienda,Hogar,Efectivo,23.0,2,2322.28,20.0,True,3715.65
1028,2026-05-29 11:00:00,Chihuahua,Web,Hogar,Tarjeta,61.0,3,192.37,15.0,False,490.54
1106,2026-05-22 12:00:00,Chihuahua,Web,Ropa,,24.0,3,2152.41,20.0,True,5165.78
1014,2026-05-18 15:00:00,Chihuahua,App,Hogar,Transferencia,30.0,4,2272.4,20.0,True,7271.68
1055,2026-03-31 17:00:00,Monterrey,App,Ropa,Transferencia,56.0,4,67.92,20.0,True,217.34
1111,2026-02-19 14:00:00,Monterrey,App,Ropa,Tarjeta,22.0,5,1033.32,10.0,False,4649.94
1003,2026-04-28 17:00:00,Ciudad Juárez,Web,Ropa,Transferencia,65.0,6,2105.72,10.0,True,11370.89
1104,2026-01-02 10:00:00,Monterrey,Tienda,Electrónica,Efectivo,42.0,5,624.61,15.0,False,2654.59
1006,2026-06-04 15:00:00,Ciudad Juárez,Web,Ropa,Tarjeta,18.0,5,1148.2,0.0,True,5741.0
1062,2026-05-15 10:00:00,Ciudad de México,App,Ropa,Efectivo,20.0,1,1915.51,5.0,False,1819.73
1033,2026-01-17 20:00:00,Ciudad Juárez,Tienda,Hogar,Tarjeta,23.0,2,1232.3,10.0,True,2218.14
1050,2026-05-21 08:00:00,Monterrey,Tienda,Alimentos,Efectivo,32.0,4,110.82,15.0,False,376.79
1108,2026-04-30 16:00:00,Ciudad de México,Web,Ropa,Transferencia,24.0,5,1310.84,20.0,True,5243.36
1031,2026-03-23 19:00:00,Chihuahua,Web,Ropa,Transferencia,41.0,3,879.22,0.0,True,2637.66
1119,2026-02-14 12:00:00,Ciudad Juárez,App,Electrónica,Tarjeta,68.0,3,1496.28,5.0,False,4264.4
1107,2026-05-21 19:00:00,Ciudad de México,Tienda,Electrónica,Transferencia,68.0,7,61.03,15.0,False,363.13
1100,2026-01-26 20:00:00,Ciudad de México,App,Electrónica,Transferencia,44.0,3,2170.37,10.0,True,5860.0
1039,2026-02-19 15:00:00,Ciudad Juárez,App,Alimentos,Tarjeta,46.0,7,2133.17,0.0,True,14932.19
1092,2026-05-25 18:00:00,Chihuahua,Tienda,Alimentos,Transferencia,,3,2065.33,10.0,True,5576.39
1009,2026-02-06 16:00:00,Guadalajara,Web,Alimentos,Efectivo,60.0,7,1900.56,15.0,False,11308.33
1064,2026-06-24 17:00:00,Ciudad de México,Web,Electrónica,Tarjeta,,6,1815.71,20.0,False,8715.41
1004,2026-03-20 14:00:00,Guadalajara,Tienda,Electrónica,Tarjeta,19.0,2,2476.29,20.0,False,3962.06
1099,2026-04-25 14:00:00,Chihuahua,App,Electrónica,Efectivo,42.0,3,1945.62,20.0,False,4669.49
1011,2026-04-05 15:00:00,Ciudad Juárez,App,Alimentos,Transferencia,68.0,3,1199.85,10.0,True,3239.6
1057,2026-04-09 18:00:00,Ciudad de México,Web,Alimentos,Efectivo,44.0,3,1772.43,20.0,False,4253.83
1042,2026-05-17 17:00:00,Monterrey,Web,Alimentos,Efectivo,62.0,6,1351.96,0.0,True,8111.76
1018,2026-01-24 08:00:00,Ciudad Juárez,App,Hogar,Efectivo,20.0,5,1250.98,5.0,True,5942.16
1002,2026-05-20 17:00:00,Monterrey,App,Alimentos,Transferencia,52.0,3,1412.13,5.0,False,4024.57
1008,2026-05-06 18:00:00,Monterrey,Tienda,Ropa,Tarjeta,,3,246.12,0.0,True,738.36
1045,2026-01-13 13:00:00,Monterrey,Tienda,Alimentos,Efectivo,60.0,75,2297.48,10.0,False,2067.73
1085,2026-04-24 14:00:00,Ciudad de México,App,Electrónica,Transferencia,30.0,5,2445.9,0.0,True,12229.5
1040,2026-04-24 18:00:00,Ciudad Juárez,Web,Alimentos,Transferencia,50.0,4,884.45,5.0,False,3360.91
1069,2026-01-14 11:00:00,Chihuahua,Web,Alimentos,Efectivo,37.0,4,1844.41,20.0,False,5902.11
1032,2026-02-10 11:00:00,Ciudad Juárez,Web,Hogar,Tarjeta,28.0,4,2118.97,5.0,True,8052.09
1120,2026-01-21 16:00:00,Guadalajara,Web,Ropa,Transferencia,39.0,6,1022.5,20.0,False,4908.0
1046,2026-06-24 19:00:00,Ciudad de México,App,Hogar,Transferencia,56.0,7,1595.54,0.0,True,11168.78
1113,2026-04-11 08:00:00,Chihuahua,App,Ropa,Efectivo,49.0,6,1695.45,0.0,True,10172.7
1058,2026-01-28 10:00:00,Monterrey,App,Ropa,Tarjeta,20.0,4,1602.74,15.0,True,5449.32
1023,2026-02-02 11:00:00,Chihuahua,Web,Electrónica,Efectivo,24.0,4,2116.79,0.0,False,8467.16
1007,2026-01-16 09:00:00,Guadalajara,Web,Hogar,Transferencia,26.0,5,1011.8,15.0,True,4300.15
1016,2026-05-22 12:00:00,,Tienda,Ropa,Transferencia,62.0,2,620.49,20.0,False,992.78
1114,2026-03-24 18:00:00,Monterrey,Tienda,Alimentos,Tarjeta,40.0,4,632.26,10.0,False,2276.14
1112,2026-05-21 19:00:00,Ciudad Juárez,Tienda,Ropa,Tarjeta,33.0,2,2244.31,0.0,False,4488.62
